Unnamed: 0,episodes,chosen_conf_index,chosen_conf,chosen_conf_index_in_labels,number_of_requests,policy1,policy2,loss_q1,loss_q2,loss_w1,loss_w2,avg_response_time,cost,not_chosen_conf,not_chosen_conf_indx,not_chosen_conf_index_in_labels,not_avg_response_time,not_cost
565,566,37,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,41,34,1,0,0.0018791162874549,3.407602946481348e-07,,,0.27196611863239545,0.0026429630595372,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2605747126436782,0.0026429630595372
566,567,28,<pyews.server_abstractions.Configuration object at 0x000001EBB4921A80>,37,27,1,0,0.0024600210599601,2.730406265527563e-07,,,0.1330155013484448,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.3523529411764706,0.0026429630595372
567,568,10,<pyews.server_abstractions.Configuration object at 0x000001EBB48C8520>,8,31,1,0,0.0051841214299201,1.7131584684193513e-07,,,0.21008439820228794,0.2691259569858366,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.3611111111111111,0.0026429630595372
568,569,10,<pyews.server_abstractions.Configuration object at 0x000001EBB48C8520>,8,36,1,0,0.0062150573357939,2.0162997316219844e-06,,,0.2477068593731361,0.2691259569858366,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2797849462365591,0.0026429630595372
569,570,10,<pyews.server_abstractions.Configuration object at 0x000001EBB48C8520>,8,33,1,0,0.004583993460983,5.8530620350438773e-08,,,0.2082792499455268,0.2691259569858366,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2016666666666667,0.0026429630595372
570,571,38,<pyews.server_abstractions.Configuration object at 0x000001EBB4923580>,39,31,1,0,0.0012433463707566,1.703993461887876e-07,,,0.18739622615927723,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2764516129032258,0.0026429630595372
571,572,38,<pyews.server_abstractions.Configuration object at 0x000001EBB4923580>,39,30,1,0,0.0022231345064938,1.7805282936933509e-07,,,0.15363278529906213,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2255172413793103,0.0026429630595372
572,573,38,<pyews.server_abstractions.Configuration object at 0x000001EBB4923580>,39,32,1,0,0.0030745104886591,5.219822014623787e-07,,,0.15759111863239542,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2755238095238095,0.0026429630595372
573,574,12,<pyews.server_abstractions.Configuration object at 0x000001EBB4913280>,34,34,1,0,0.0069232126697897,1.8943249813219157e-07,,,0.20186807941670912,0.1726468100868174,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.3127192982456139,0.0026429630595372
574,575,12,<pyews.server_abstractions.Configuration object at 0x000001EBB4913280>,34,33,1,0,0.0160037297755479,4.724982716197701e-07,,,0.21565298731926422,0.1726468100868174,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2288888888888888,0.0026429630595372
