,episodes,chosen_conf_index,chosen_conf,chosen_conf_index_in_labels,number_of_requests,policy1,policy2,loss_q1,loss_q2,loss_w1,loss_w2,avg_response_time,cost
508,509,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,7,1,0,0.01618766039609909,0.046768054366111755,,,0.15619047619047619,0.26912595698583663
509,510,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,5,0,1,0.02715328335762024,0.027226630598306656,,,0.16,0.17264681008681748
510,511,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,6,1,0,0.01689290814101696,0.030918344855308533,,,0.19833333333333333,0.308151228202052
511,512,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,6,1,0,0.025962188839912415,0.056803956627845764,,,0.13444444444444445,0.308151228202052
512,513,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,7,1,0,0.007855456322431564,0.0632777214050293,,,0.2776190476190476,0.308151228202052
513,514,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,6,1,0,0.005427560303360224,0.05132436007261276,,,0.13277777777777777,0.308151228202052
514,515,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,6,1,0,0.010266534984111786,0.09172598272562027,,,0.30277777777777776,0.3054506676452877
515,516,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,5,1,0,0.015459666959941387,0.032137416303157806,,,0.0,0.3054506676452877
516,517,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,6,1,0,0.019493311643600464,0.03836441412568092,,,0.1738888888888889,0.3054506676452877
517,518,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,7,1,0,0.01746048405766487,0.03900356963276863,,,0.33380952380952383,0.3054506676452877
518,519,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,6,1,0,0.009453956969082355,0.054207298904657364,,,0.2838888888888889,0.3054506676452877
519,520,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,4,1,0,0.004429533611983061,0.06139032170176506,,,0.0,0.3054506676452877
520,521,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,7,1,0,0.01746690832078457,0.06889187544584274,,,0.2914285714285714,0.3054506676452877
521,522,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,6,1,0,0.003859825897961855,0.06945803761482239,,,0.1361111111111111,0.3054506676452877
522,523,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,4,0,1,0.010735846124589443,0.04902351647615433,,,0.0,0.17264681008681748
523,524,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,6,1,0,0.006476548500359058,0.06052875518798828,,,0.2905555555555556,0.26912595698583663
524,525,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,7,1,0,0.0037712983321398497,0.06758908927440643,,,0.2123809523809524,0.26912595698583663
525,526,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,7,0,1,0.002693476155400276,0.042066097259521484,,,0.37,0.17264681008681748
526,527,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,6,1,0,0.01089789904654026,0.03498135879635811,,,0.3227777777777778,0.26912595698583663
527,528,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,6,1,0,0.00439595989882946,0.05217219889163971,,,0.13,0.26912595698583663
528,529,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,7,1,0,0.003999901004135609,0.017013464123010635,,,0.2495238095238095,0.26912595698583663
529,530,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,5,1,0,0.020155416801571846,0.015065664425492287,,,0.2846666666666667,0.17264681008681748
530,531,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,6,1,0,0.019154265522956848,0.03577343374490738,,,0.23555555555555555,0.17264681008681748
531,532,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,5,1,0,0.006546723656356335,0.0864255353808403,,,0.2533333333333333,0.17264681008681748
532,533,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,5,1,0,0.019713127985596657,0.04237203299999237,,,0.386,0.308151228202052
533,534,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,6,1,0,0.015569495037198067,0.001954209292307496,,,0.13722222222222222,0.308151228202052
534,535,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,7,1,0,0.01130696851760149,0.013265753164887428,,,0.3871428571428571,0.308151228202052
535,536,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,6,1,0,0.01038096658885479,0.02714543417096138,,,0.25277777777777777,0.308151228202052
536,537,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,6,1,0,0.007394885644316673,0.024922819808125496,,,0.27444444444444444,0.308151228202052
537,538,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,5,1,0,0.006635816767811775,0.011004360392689705,,,0.0,0.308151228202052
538,539,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,5,1,0,0.010106364265084267,0.05571061745285988,,,0.19733333333333333,0.3054506676452877
539,540,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,6,1,0,0.008386937901377678,0.02490612119436264,,,0.23111111111111113,0.1854343365664084
540,541,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,9,1,0,0.005121407099068165,0.04105296730995178,,,0.33370370370370367,0.1854343365664084
541,542,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,5,1,0,0.01767256110906601,0.024849727749824524,,,0.15933333333333333,0.1854343365664084
542,543,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,6,1,0,0.012429537251591682,0.04826517403125763,,,0.15833333333333333,0.1854343365664084
543,544,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,6,1,0,0.010456301271915436,0.03891658037900925,,,0.2688888888888889,0.1854343365664084
544,545,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,6,1,0,0.009056700393557549,0.038720760494470596,,,0.12333333333333335,0.1854343365664084
545,546,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,9,1,0,0.008563018403947353,0.050397567451000214,,,0.37407407407407406,0.1854343365664084
